organization_name,startup_uuid,founder_name,linkedin_url,is_scrapped,is_scrapped_profile
Xanitos,f7910391-e2f3-0605-6b1c-0c004edd6202,,,1,0
XebiaLabs,fc57b7da-865e-f2bb-3e03-b9134d929d47,,,1,0
Xerva,f61b4ec9-f674-4f2e-85d7-624ff99c147f,,,1,0
Xi3,ecceb64d-cc3c-d009-9630-bfb65ca4186c,,,1,0
Xyngular,6d814654-976f-2b23-4fbe-54a6c02f7db3,,,1,0
12th Wonder,bdd77b9b-003e-4cfe-81bb-f474ec6f98fb,,,1,0
3-dB Networks,8b1d0457-82e1-efd8-d792-7dd091a07c0b,,,1,0
97 Display,ba056ae9-0d61-e5d3-2f3c-b8d3f24fb17b,,,1,0
Akyumen Technologies Corp.,39d41886-a10d-1e92-6d33-a1ae0fc92a77,,,1,0
ALECIA,4af245ad-8f4a-4416-922c-fd4f8ef7f8e1,,,1,0
All Def Digital,938da32f-425f-6371-8adb-48cb6f63892e,,,1,0
All Star Code,c95a6bf5-9a44-9b34-3682-cfc8febc8936,,,1,0
Alpha Connect,7519e1b5-cf02-cba6-ce05-7c341c669cd2,,,1,0
Apex Clean Energy,580f609a-a763-5ff4-e7d2-82bd907ed176,,,1,0
Aspire Business Solutions,d96dfd22-4b29-496f-9a17-978303f7b518,,,1,0
ATLAS Technology Group,97e2ab24-7477-809b-32ee-505b7b6b71e1,,,1,0
PrivCo,6190178f-f0b0-a112-de25-693f9fc425cd,,,1,0
Raya,792adf70-1242-49e6-846e-bc7ecc51335a,,,1,0
Red Spot Interactive,4e1807e9-3287-471d-cd45-d7e80272c6f0,,,1,0
Redwood Scientific Technologies,fd4407fe-2c98-bf3d-5029-ae02060faeb4,,,1,0
RHiiNO Corp,4c8c00a4-2717-4bfe-b52e-45b6be926d30,,,1,0
RHiiNO Corp,4c8c00a4-2717-4bfe-b52e-45b6be926d30,,,1,0
Ring,66074e0b-5c4e-e064-f9e7-29c53804d9ae,,,1,0
ROIÂ¬Â¨âÃ¢Â§,d6e022f7-5062-7db1-48eb-ca5dc2b516b7,,,1,0
