organization_name,startup_uuid,founder_name,linkedin_url,is_scrapped,is_scrapped_profile
NEST Fragrances,e3c48ae4-5322-7e1e-0dd1-ecf9622b4b4f,Laura Slatkin,https://www.linkedin.com/in/laura-slatkin-b307784b,1,0
Medra Marketing,1eee0a48-642e-c65c-6432-4ac0bbd4f157,Ashley Castillo,https://www.linkedin.com/in/ashley-castillo-261a7569,1,0
MobiDart,ef8c5b67-1ab5-1217-96d5-91e6b60b4ebc,Frank Rice,https://www.linkedin.com/in/frank-rice-0118851a,1,0
Mobile Theory,a730241e-72c9-7d78-1911-008e835b76f4,Scott Swanson,http://www.linkedin.com/in/scottswanson77,1,0
Narrativ,9e607ab5-10f0-95fc-abfc-2c1ee688fea0,Shirley Chen,https://www.linkedin.com/in/shrleychen/,1,0
"Ranksharks, LLC",8e87e10f-534c-68ae-dddd-67a6d288b6c1,Travis Peters,https://www.linkedin.com/in/travispetersentrepreneur,1,0
Nonda,f776bfcb-e7df-edfb-bb1c-8f0e843373a9,Jia Li,http://www.linkedin.com/in/baixingjia,1,0
Recovery Centers of America,a9a26d0f-81c8-a90f-fdf3-eb88251a3729,Alexander Karnal,https://www.linkedin.com/in/alexanderkarnal/,1,0
Reserved Barking,22c31227-c483-9dd1-0739-7283c18cbf3f,Bilal Malik,https://www.linkedin.com/in/mbm185,1,0
Solera Health,7495c6eb-b4f5-a3b0-c7e7-75c042c4ef15,Brenda Schmidt,https://www.linkedin.com/in/brendaschmidtsolera,1,0
Talentrackr,9f582a21-6820-e8c2-dc68-9355c0f69ef3,Paul Silverstein,https://www.linkedin.com/in/paulasilverstein,1,0
Karma,859a7663-1488-4185-accf-4bd06c37d612,Karam Hinduja,https://www.linkedin.com/in/karamhinduja/,1,0
Northwestern Marketing Concepts,beab7fab-1a7c-4105-b2ef-9c7cc7785d03,Holly Clark,https://www.linkedin.com/in/clarkholly/,1,0
"Vaddo, Inc.",ec469853-4880-c5e4-917c-cd51eb7cba27,Ryan Caugherty,https://www.linkedin.com/in/ryan-caugherty,1,0
WhiteFox Defense Technologies,88cf81ea-e989-637b-ebe3-1f1b0ae020c5,Luke Fox,https://www.linkedin.com/in/lukerfox/,1,0
Xinova LLC,d88ed367-9fc8-d195-db59-be19db72279d,Edward Jung,https://www.linkedin.com/in/jungedward,1,0
"UniBit, Inc.",694c7faf-caf7-45c8-8be3-815312f7add5,Vincent Jiang,https://www.linkedin.com/in/vincent-jiang-55740855/,1,0
United Income,6322f77c-39ec-b08b-fd7a-72ccce925cd4,Matt Fellowes,https://www.linkedin.com/in/mattfellowes,1,0
Wrevel Inc.,2d80537d-1c77-83c9-606e-27faa34d90a6,Sajid Zaman,https://www.linkedin.com/in/saj-zaman-4813326a,1,0
